model,KL,JSD
BPR,7.036939058993375,0.18321559356662123
BPR,3.2394950826057767,0.16494808344055994
BPR,3.3586621235541867,0.09763297599792642
BPR,6.9535765203853535,0.17475752655491744
BPR,6.1471575817656925,0.14873523498317534
BPR,7.621600321040934,0.22161017523779108
BPR,1.5934533436734295,0.04896193361265763
BPR,3.4067619990161524,0.10267400030694836
BPR,4.82356693747252,0.14127682342801845
BPR,5.627861262219543,0.13661479605195778
BPR,0.42826692505039776,0.04501656898860143
BPR,0.8089200810894654,0.08326140895857453
BPR,0.025846191365469978,0.008900470663492767
BPR,6.622413500075238,0.188566450366249
BPR,0.9167129971738832,0.05485750545830821
BPR,7.4779449657347765,0.17195638566018925
BPR,3.1539899520623487,0.09298967199901996
BPR,5.739225846819444,0.13533383149454284
BPR,5.63885250552559,0.1530425061367586
BPR,6.219712072534526,0.1509574727399075
BPR,3.9099427498360986,0.12111422057739098
BPR,1.1120875019236705,0.06511633225411559
BPR,6.192398807777138,0.14156354166060878
BPR,3.45164581750726,0.1041378048932883
BPR,4.900542601559238,0.165819155943367
BPR,8.155422319707426,0.19867801149994757
BPR,4.913790897599552,0.11812343861624279
BPR,0.8226513964287341,0.05559500321448112
BPR,2.4256859598489404,0.08143853576984626
BPR,3.690789033245292,0.09079566623192964
BPR,6.287773221645773,0.15220409342935448
BPR,1.324660844747405,0.09047943951371178
BPR,5.474339940116925,0.1300401761199996
BPR,6.159359073714546,0.14749694212311174
BPR,2.692371750957704,0.07071465079422128
BPR,7.999919431675602,0.1904701411332379
BPR,3.5977446798526085,0.11762376257441012
BPR,0.8905475226975619,0.06341408971095143
BPR,4.6514147563044395,0.1049039759815835
BPR,3.211870290379221,0.14926009960409423
BPR,5.729756388914957,0.14766950582307553
BPR,3.907280385642633,0.11293706246727646
BPR,7.527528073049806,0.23743884382191363
BPR,3.5907810636007524,0.09309842891589058
BPR,1.445566159011482,0.07176945295093194
BPR,9.353541356769487,0.24477975602492635
BPR,3.2964493179306746,0.09643161771835615
BPR,1.4848108778325222,0.043647717723431574
BPR,2.251047223906278,0.05777846993434608
BPR,7.597410136440123,0.18995544565243905
BPR,5.8871813526456975,0.1509169095531474
BPR,5.105764517194573,0.13805531632128068
BPR,6.503324936472091,0.16808652468389518
BPR,3.5440044270376245,0.07800055155901361
BPR,8.368271400996214,0.21975863294052092
BPR,3.6408030582790656,0.09102608888581143
BPR,2.37809581789954,0.09134700563561211
BPR,1.7298067632870466,0.07106423331558466
BPR,2.701422938381438,0.09122505211205392
BPR,6.2141225639562245,0.15201665771062325
BPR,4.339559309904616,0.13420319947685141
BPR,3.2748034074263206,0.0931645574024337
BPR,8.221036870833021,0.2057586585429306
BPR,8.503721526867963,0.2036628467085051
BPR,1.2936058195313076,0.03245820031884236
BPR,7.702529216095938,0.23431474625419055
BPR,6.0921968928895796,0.17692208257678696
BPR,2.313964484552329,0.05894938450275873
BPR,0.13309494889653306,0.047120535579915246
BPR,1.3200422998582926,0.04277349433495116
BPR,1.9270426834268677,0.09340203076932536
BPR,4.313059030721244,0.13211146014914832
BPR,4.060684861966328,0.12629150132079647
BPR,3.4144515683442878,0.0937686690239489
BPR,4.62483208290679,0.11311700358156837
BPR,1.4092660037053384,0.047144396967387314
BPR,7.297776305494696,0.17670734907485258
BPR,2.5091057130383683,0.1044837056838989
BPR,2.0204123346180305,0.06027655383976423
BPR,2.2605998844004707,0.08945732742671687
BPR,2.3365355617507584,0.06122816687607526
BPR,0.08586712301423015,0.03455803944673194
BPR,4.606588068628629,0.11830278844904832
BPR,1.3378516332345294,0.046209015932241165
BPR,4.305409285620055,0.13010910687984137
BPR,8.749257713852467,0.20696854688864158
BPR,4.150546850223091,0.09892084166004096
BPR,6.902360164211334,0.16465675170644375
BPR,7.811132628010656,0.209388513640229
BPR,0.9289282783195671,0.06813806358325313
BPR,1.1292255300477425,0.10849870509491762
BPR,1.5292422054059633,0.046843554302799684
BPR,9.281869511825708,0.23379553425527205
BPR,3.3154557268086347,0.07845074680867173
BPR,8.080520798136785,0.23941040732885366
BPR,1.3021751497306222,0.09653525028124856
BPR,0.6985479755101801,0.06116157336463591
BPR,8.173348812554773,0.274910686690407
BPR,4.931438402226338,0.15194595889411053
BPR,8.156874199342631,0.1922208499537456
BPR,4.168949537659256,0.13027549061145516
BPR,5.5148934676791255,0.1300178974897982
